"","Idnum","individScore","geogScore","artScore","langScore","weightScore","Copied_score","Condition","o_score","copCopied","copHobs","copyFreq","copScore","age","gender","edu","city","why1","why2","Qnums","copyWho","mcopied","ID","CondB","CondC","copyLeast"
"123.Q84A",123,70,16,18,18,18,2,"A",72,2,0,2,0,"62","Male","Apprenticeship / trade / technical / vocational training","london","cluless on answer","thought i had correct answer","Q84A","I was copied twice",0,59,0,0,0
"130.Q84B",130,60,13,8,17,22,6,"B",66,6,3,9,0,"33","Female","Apprenticeship / trade / technical / vocational training","","because i was unsure","you dont know them","Q84B","I was copied twice",0,36,1,0,0
"144.Q85C",144,44,11,12,8,13,5,"C",49,3,0,6,3,"18","Male","Doctorate","Southampyon","I don't no ","I don't no ","Q85C","I was copied once",0,26,0,1,0
"78.Q86A",78,52,14,8,12,18,23,"A",75,27,3,30,0,"41","Male","Apprenticeship / trade / technical / vocational training","preston","i was not 100 sure myself","i had good idea myself","Q86A","I was never copied",0,8,0,0,1
"107.Q86A",107,24,12,3,8,1,22,"A",46,18,21,41,0,"43","Male","Degree BSc/BA/equivalent","Borehamwood","I don‰Ûªt know","None","Q86A","I was never copied",0,28,0,0,1
"137.Q87A",137,54,12,14,10,18,1,"A",55,2,1,3,0,"40","Male","Prefer not to say","Worcester","Dont no the answer","They could be wrong","Q87A","I was copied 4 times",1,35,0,0,0
"130.Q87B",130,60,13,8,17,22,6,"B",66,6,3,9,0,"33","Female","Apprenticeship / trade / technical / vocational training","","because i was unsure","you dont know them","Q87B","I was copied 5 times",1,36,1,0,0
"78.Q88A",78,52,14,8,12,18,23,"A",75,27,3,30,0,"41","Male","Apprenticeship / trade / technical / vocational training","preston","i was not 100 sure myself","i had good idea myself","Q88A","I was copied 5 times",1,8,0,0,0
"92.Q88A",92,46,9,8,13,16,11,"A",57,9,8,17,0,"52","Female","A level/ equivalent","Bristol ","Time was running out ","Hoped I knew the answer ","Q88A","I was copied 5 times",1,18,0,0,0
"26.Q88B",26,71,17,17,18,19,5,"B",76,6,2,8,0,"38","Female","Degree BSc/BA/equivalent","Swansea","Because I wasn't sure or I had no idea what was the right answer","I wasn't sure but I wanted to try anyway","Q88B","I was copied 4 times",1,46,1,0,0
"78.Q89A",78,52,14,8,12,18,23,"A",75,27,3,30,0,"41","Male","Apprenticeship / trade / technical / vocational training","preston","i was not 100 sure myself","i had good idea myself","Q89A","I was copied 5 times",1,8,0,0,0
"95.Q89A",95,75,18,19,19,19,1,"A",76,1,1,2,0,"43","Female","Degree BSc/BA/equivalent","Andover","I wanted to see how it worked","I prefer to trust my own intellect.","Q89A","I was copied 5 times",1,60,0,0,0
"123.Q89A",123,70,16,18,18,18,2,"A",72,2,0,2,0,"62","Male","Apprenticeship / trade / technical / vocational training","london","cluless on answer","thought i had correct answer","Q89A","I was copied 5 times",1,59,0,0,0
"26.Q89B",26,71,17,17,18,19,5,"B",76,6,2,8,0,"38","Female","Degree BSc/BA/equivalent","Swansea","Because I wasn't sure or I had no idea what was the right answer","I wasn't sure but I wanted to try anyway","Q89B","I was copied 5 times",1,46,1,0,0
"133.Q89B",133,69,14,17,20,18,2,"B",71,2,2,4,0,"44","Male","A level/ equivalent","manchester","luck and calculations","dependant on the subject matter","Q89B","I was copied 5 times",1,38,1,0,0
"138.Q89B",138,56,13,12,15,16,7,"B",63,7,3,10,0,"34","Male","Masters level MSc/MRes/MA/equivalent","Manchester ","They have a higher chance of getting it right","They might be wrong ","Q89B","I was copied 5 times",1,22,1,0,0
"94.Q89C",94,58,16,8,12,22,5,"C",63,9,0,11,2,"47","Male","Degree BSc/BA/equivalent","London","I had no clue in the answer","I thought I know the answer","Q89C","I was copied 5 times",1,4,0,1,0
"16.Q91A",16,65,12,14,17,22,3,"A",68,2,1,3,0,"51","Male","Doctorate","milton keynes","if i have no idea to the answer","i know or think i know the answer","Q91A","I was copied 5 times",1,19,0,0,0
"78.Q91A",78,52,14,8,12,18,23,"A",75,27,3,30,0,"41","Male","Apprenticeship / trade / technical / vocational training","preston","i was not 100 sure myself","i had good idea myself","Q91A","I was copied 5 times",1,8,0,0,0
"94.Q91C",94,58,16,8,12,22,5,"C",63,9,0,11,2,"47","Male","Degree BSc/BA/equivalent","London","I had no clue in the answer","I thought I know the answer","Q91C","I was never copied",0,4,0,1,1
"138.Q92B",138,56,13,12,15,16,7,"B",63,7,3,10,0,"34","Male","Masters level MSc/MRes/MA/equivalent","Manchester ","They have a higher chance of getting it right","They might be wrong ","Q92B","I was copied 5 times",1,22,1,0,0
"78.Q93A",78,52,14,8,12,18,23,"A",75,27,3,30,0,"41","Male","Apprenticeship / trade / technical / vocational training","preston","i was not 100 sure myself","i had good idea myself","Q93A","I was copied 3 times",0,8,0,0,0
"142.Q93A",142,55,13,12,17,13,4,"A",59,3,2,5,0,"19","Male","GCSE or equivalent","Brighton","Not sure on the correct answer","Never learn if you don‰Ûªt try","Q93A","I was copied twice",0,33,0,0,0
"110.Q93B",110,67,15,19,14,19,2,"B",69,3,1,4,0,"38","Female","Degree BSc/BA/equivalent","Lowestoft","Because I didnt know the answer ","because I didnt know if other people were right either so I might as well take a 50/50 chance","Q93B","I was copied 6 times",1,37,1,0,0
"130.Q93B",130,60,13,8,17,22,6,"B",66,6,3,9,0,"33","Female","Apprenticeship / trade / technical / vocational training","","because i was unsure","you dont know them","Q93B","I was copied 6 times",1,36,1,0,0
"132.Q93B",132,63,15,13,16,19,1,"B",64,1,0,1,0,"39","Male","A level/ equivalent","Swansea","I didn't know the answer","To see how lucky I am","Q93B","I was copied 6 times",1,61,1,0,0
"94.Q93C",94,58,16,8,12,22,5,"C",63,9,0,11,2,"47","Male","Degree BSc/BA/equivalent","London","I had no clue in the answer","I thought I know the answer","Q93C","I was copied 6 times",1,4,0,1,0
"127.Q93C",127,49,9,14,11,15,12,"C",61,10,0,16,6,"30","Male","Prefer not to say","South Yorkshire","I thought if they did well/were copied a lot it might be right, and I didn't know the answer","I wanted to try and learn for myself, even though it was very fast and I often didn't know","Q93C","I was copied 6 times",1,11,0,1,0
"107.Q94A",107,24,12,3,8,1,22,"A",46,18,21,41,0,"43","Male","Degree BSc/BA/equivalent","Borehamwood","I don‰Ûªt know","None","Q94A","I was copied twice",0,28,0,0,0
"78.Q95A",78,52,14,8,12,18,23,"A",75,27,3,30,0,"41","Male","Apprenticeship / trade / technical / vocational training","preston","i was not 100 sure myself","i had good idea myself","Q95A","I was copied once",0,8,0,0,0
"92.Q95A",92,46,9,8,13,16,11,"A",57,9,8,17,0,"52","Female","A level/ equivalent","Bristol ","Time was running out ","Hoped I knew the answer ","Q95A","I was copied once",0,18,0,0,0
"99.Q95C",99,60,12,15,14,19,4,"C",64,1,0,4,3,"66","Female","GCSE or equivalent","exeter","not sure of the answer","thought i knew the answer","Q95C","I was copied 3 times",0,62,0,1,0
"78.Q96A",78,52,14,8,12,18,23,"A",75,27,3,30,0,"41","Male","Apprenticeship / trade / technical / vocational training","preston","i was not 100 sure myself","i had good idea myself","Q96A","I was copied twice",0,8,0,0,0
"92.Q96A",92,46,9,8,13,16,11,"A",57,9,8,17,0,"52","Female","A level/ equivalent","Bristol ","Time was running out ","Hoped I knew the answer ","Q96A","I was copied twice",0,18,0,0,0
"107.Q96A",107,24,12,3,8,1,22,"A",46,18,21,41,0,"43","Male","Degree BSc/BA/equivalent","Borehamwood","I don‰Ûªt know","None","Q96A","I was never copied",0,28,0,0,1
"94.Q96C",94,58,16,8,12,22,5,"C",63,9,0,11,2,"47","Male","Degree BSc/BA/equivalent","London","I had no clue in the answer","I thought I know the answer","Q96C","I was copied 6 times",1,4,0,1,0
"141.Q96C",141,46,14,10,12,10,2,"C",48,1,0,3,2,"19","Male","GCSE or equivalent","Laindon ","Because i did not understand the question or i did not know anything about the two answers i got given","Because i like to learn individually sometimes and if i dont make mistakes how can i learn from them","Q96C","I was copied 6 times",1,63,0,1,0
"26.Q97B",26,71,17,17,18,19,5,"B",76,6,2,8,0,"38","Female","Degree BSc/BA/equivalent","Swansea","Because I wasn't sure or I had no idea what was the right answer","I wasn't sure but I wanted to try anyway","Q97B","I was copied 5 times",1,46,1,0,0
"106.Q97B",106,66,16,15,18,17,5,"B",71,2,4,6,0,"42","Male","A level/ equivalent","Hull","Didn't know","Knew answers or guesed","Q97B","I was copied 5 times",1,41,1,0,0
"138.Q97B",138,56,13,12,15,16,7,"B",63,7,3,10,0,"34","Male","Masters level MSc/MRes/MA/equivalent","Manchester ","They have a higher chance of getting it right","They might be wrong ","Q97B","I was copied 5 times",1,22,1,0,0
"86.Q97C",86,59,16,9,12,22,9,"C",68,1,0,12,11,"29","Male","Masters level MSc/MRes/MA/equivalent","Edinburgh","didn't know","knew answer","Q97C","I was copied 5 times",1,64,0,1,0
"71.Q98A",71,57,11,11,17,18,1,"A",58,1,0,1,0,"30","Male","Masters level MSc/MRes/MA/equivalent","london","no comment","no comment","Q98A","I was copied 5 times",1,65,0,0,0
"78.Q98A",78,52,14,8,12,18,23,"A",75,27,3,30,0,"41","Male","Apprenticeship / trade / technical / vocational training","preston","i was not 100 sure myself","i had good idea myself","Q98A","I was copied 5 times",1,8,0,0,0
"107.Q98A",107,24,12,3,8,1,22,"A",46,18,21,41,0,"43","Male","Degree BSc/BA/equivalent","Borehamwood","I don‰Ûªt know","None","Q98A","I was copied 3 times",0,28,0,0,0
"30.Q98B",30,57,16,15,13,13,8,"B",65,7,6,13,0,"49","Male","No formal education completed","Birmingham","To desieve others","Becuse it could be wrong","Q98B","I was copied 4 times",1,13,1,0,0
"146.Q98B",146,76,18,16,19,23,5,"B",81,1,6,7,0,"28","Male","A level/ equivalent","canterbury","Only if I felt the topic would lend itself to a knowledge base rooted in obvious hobbies","Insufficient information available from hobbies - might as well guess! Previous ""copied score"" is useless","Q98B","I was copied 4 times",1,66,1,0,0
"127.Q98C",127,49,9,14,11,15,12,"C",61,10,0,16,6,"30","Male","Prefer not to say","South Yorkshire","I thought if they did well/were copied a lot it might be right, and I didn't know the answer","I wanted to try and learn for myself, even though it was very fast and I often didn't know","Q98C","I was copied 4 times",1,11,0,1,0
"78.Q99A",78,52,14,8,12,18,23,"A",75,27,3,30,0,"41","Male","Apprenticeship / trade / technical / vocational training","preston","i was not 100 sure myself","i had good idea myself","Q99A","I was copied twice",0,8,0,0,0
"78.Q100A",78,52,14,8,12,18,23,"A",75,27,3,30,0,"41","Male","Apprenticeship / trade / technical / vocational training","preston","i was not 100 sure myself","i had good idea myself","Q100A","I was never copied",0,8,0,0,1
"94.Q100C",94,58,16,8,12,22,5,"C",63,9,0,11,2,"47","Male","Degree BSc/BA/equivalent","London","I had no clue in the answer","I thought I know the answer","Q100C","I was copied once",0,4,0,1,0
"127.Q100C",127,49,9,14,11,15,12,"C",61,10,0,16,6,"30","Male","Prefer not to say","South Yorkshire","I thought if they did well/were copied a lot it might be right, and I didn't know the answer","I wanted to try and learn for myself, even though it was very fast and I often didn't know","Q100C","I was copied once",0,11,0,1,0
